t [s],FA [g],SS [g]
0.0,-0.0044642,0.009247039
0.04,-0.0038208112,0.00787354
0.08,-0.004222256,0.007740227
0.12,-0.0046669208,0.008032281
0.16,-0.004643231,0.009867171
0.2,-0.0052984776,0.009541712
0.24,-0.0054647727,0.010613981
0.28,-0.0054974174,0.011945406
0.32,-0.0060895113,0.011302239
0.36,-0.005953487,0.010384726
0.4,-0.007151218,0.009480903
0.44,-0.008392696,0.009573847
0.48,-0.007949532,0.010500605
0.52,-0.008413173,0.011507371
0.56,-0.0075251656,0.009651426
0.6,-0.006017925,0.009033749
0.64,-0.0053606303,0.010073619
0.68,-0.004485181,0.010895726
0.72,-0.0038231856,0.009569677
0.76,-0.001933004,0.007931571
0.8,-0.0014570812,0.008108548
0.84,-0.0019176374,0.0074094296
0.88,-0.001368015,0.006803943
0.92,-0.0012159247,0.003910129
0.96,-0.0012242849,0.0019925733
1.0,-0.0019881257,0.0018483123
1.04,-0.0022203226,-9.485921e-05
1.08,-0.0021663432,-0.0011789858
1.12,-0.0016129758,-0.001817304
1.16,-0.00038525273,-0.0012897997
1.2,-0.0009717939,-0.0023745275
1.24,-0.0011830735,-0.0037292112
1.28,-0.0003083529,-0.0039951447
1.32,-0.00049965084,-0.005708588
1.36,-0.0010908812,-0.005355585
1.4000000000000001,-0.0007532037,-0.004572796
1.44,0.00024913767,-0.0051600165
1.48,0.0013810436,-0.0059728613
1.52,0.0028542504,-0.0059940787
1.56,0.0028478806,-0.0068014963
1.6,0.0022370047,-0.0083042225
1.6400000000000001,0.002799588,-0.0076789176
1.68,0.0026291264,-0.008665504
1.72,0.002387238,-0.010030524
1.76,0.0018835384,-0.010639723
1.8,0.001274831,-0.011516139
1.84,0.0011682109,-0.0113379555
1.8800000000000001,0.0009129971,-0.011568646
1.92,0.00053903897,-0.012566853
1.96,0.0006524752,-0.013058745
2.0,0.00081010145,-0.010759281
2.04,0.0019357692,-0.009170507
2.08,0.002447363,-0.010108379
2.12,0.0017307092,-0.010356262
2.16,0.0016647729,-0.009789805
2.2,0.0012972674,-0.00885185
2.24,0.0010459751,-0.009235265
2.2800000000000002,0.00015984682,-0.009428214
2.32,-0.0006779174,-0.007260794
2.36,-0.00063311134,-0.00368593
2.4,5.39333e-05,-0.0025205035
2.44,0.0005327784,-0.004547208
2.48,-0.00021902056,-0.005068868
2.52,-0.00040703057,-0.003517448
2.56,-0.00036675687,-0.0018599431
2.6,-0.00039267313,-0.0016649175
2.64,-0.000648419,-0.0005918388
2.68,-0.0006616101,-0.00036292538
2.72,-0.00071561476,-0.001431296
2.7600000000000002,-0.0020102544,-0.00085053477
2.8000000000000003,-0.002663677,-0.0001873788
2.84,-0.0023441876,0.0005625447
2.88,-0.0016194688,0.00015077289
2.92,-0.0013735619,0.0011045339
2.96,-0.0024179036,0.0020666784
3.0,-0.0036056924,0.0032948575
3.04,-0.004266901,0.005348328
3.08,-0.003785383,0.0043778163
3.12,-0.0037489203,0.005284806
3.16,-0.0037304624,0.005995248
3.2,-0.0025238153,0.006928451
3.24,-0.002283058,0.007806229
3.2800000000000002,-0.0021810378,0.00890882
3.3200000000000003,-0.0015810118,0.010315756
3.36,-0.0015048592,0.0083254045
3.4,-0.0012847724,0.008575982
3.44,-0.00040317833,0.008484868
3.48,-0.00028418936,0.007619223
3.52,-0.0005750811,0.007875227
3.56,-0.0012271306,0.009318162
3.6,-0.0038084062,0.01171252
3.64,-0.005507261,0.010438916
3.68,-0.005877933,0.011348676
3.72,-0.006128305,0.011492888
3.7600000000000002,-0.0052470993,0.011570138
3.8000000000000003,-0.004105651,0.012998925
3.84,-0.0031949657,0.013025059
3.88,-0.00236309,0.013287366
3.92,-0.0015082846,0.011134599
3.96,-0.00011743378,0.009480806
4.0,0.0011092299,0.006286578
4.04,0.0012587063,0.0049628094
4.08,0.0006939865,0.006234278
4.12,-0.00012146484,0.006179079
4.16,-0.00059870956,0.005719384
4.2,-0.0010021038,0.004189795
4.24,-0.0021384417,0.0020850115
4.28,-0.002318268,0.000420487
4.32,-0.0011063376,0.0005281441
4.36,0.0006464824,0.0014811304
4.4,0.0014008638,0.00047772963
4.44,0.0012529085,-0.000760785
4.48,0.00064603164,-0.00070173957
4.5200000000000005,-0.0003525034,-0.00015327852
4.5600000000000005,-2.254515e-05,0.00011806576
4.6000000000000005,-0.0005825124,-0.0011310617
4.64,-0.0012852646,-0.0017727191
4.68,-0.0018164923,-0.0025186248
4.72,-0.002691124,-0.0038522722
4.76,-0.0028138342,-0.005065065
4.8,-0.0033773424,-0.0067412434
4.84,-0.0031856317,-0.00596061
4.88,-0.0025922353,-0.0055729407
4.92,-0.0016495241,-0.007711062
4.96,-0.0008559538,-0.0086938
5.0,-0.00023949874,-0.009052442
5.04,1.9565106e-05,-0.0096741915
5.08,-0.00071769353,-0.011508617
5.12,0.0004869298,-0.01124123
5.16,0.0010184429,-0.010216096
5.2,0.0018653059,-0.0121037755
5.24,0.0033022184,-0.012397014
5.28,0.0035436011,-0.013269557
5.32,0.004547625,-0.013299516
5.36,0.0037496414,-0.01214771
5.4,0.002885998,-0.012047756
5.44,0.0032616004,-0.0111302715
5.48,0.003873249,-0.00968542
5.5200000000000005,0.0035529977,-0.006421167
5.5600000000000005,0.002628316,-0.0063145044
5.6000000000000005,0.0032616565,-0.006511198
5.64,0.0039499872,-0.0056474376
5.68,0.0043799453,-0.007640172
5.72,0.004126445,-0.008870733
5.76,0.003258818,-0.00832753
5.8,0.002427784,-0.006121785
5.84,0.0020792698,-0.0060877805
5.88,0.0016730597,-0.0058334265
5.92,-0.0006439585,-0.0035290176
5.96,-0.0015594922,-0.0037638433
6.0,-0.00024344824,-0.0036184497
6.04,0.00031740533,-0.0028379976
6.08,-0.0007179837,-0.0009852425
6.12,-0.0023713473,-0.00019740043
6.16,-0.003013117,-0.0001637905
6.2,-0.0028486557,0.0005549952
6.24,-0.0030411882,0.0007302763
6.28,-0.0036315352,0.0021000777
6.32,-0.004582875,0.0030031316
6.36,-0.0051251324,0.004726996
6.4,-0.0044901012,0.0067099743
6.44,-0.004186286,0.006943219
6.48,-0.0049610543,0.0054308902
6.5200000000000005,-0.0061458605,0.00468451
6.5600000000000005,-0.005631642,0.0069039706
6.6000000000000005,-0.0037558384,0.008415406
6.640000000000001,-0.0030017009,0.0084419185
6.68,-0.003480237,0.008763022
6.72,-0.005090899,0.009806891
6.76,-0.006136257,0.01027908
6.8,-0.0063741505,0.011095341
6.84,-0.006512676,0.011634964
6.88,-0.0070648263,0.011035469
6.92,-0.00821898,0.010779749
6.96,-0.007588557,0.011224715
7.0,-0.00687088,0.011737642
7.04,-0.0069025755,0.01060123
7.08,-0.0073435134,0.011498315
7.12,-0.007806626,0.011886596
7.16,-0.006775434,0.011350577
7.2,-0.0067909337,0.010947592
7.24,-0.0068947375,0.008338062
7.28,-0.006484039,0.0062997565
7.32,-0.00553262,0.0052513974
